total_transcations,total_distance,online_duration_in_seconds,orders_received,orders_accepted,earnings,orders_cancelled,label
2,34.05,20717,62,5,135700,1,0
2,39.62,41693,45,2,146050,0,0
2,30.94,20216,29,2,125350,0,0
2,17.71,24275,45,12,63250,7,0
2,33.73,27638,35,8,170200,1,0
2,26.45,23471,35,2,152950,0,0
2,41.92,38591,24,3,200100,0,0
2,29.72,18269,28,5,113850,2,0
2,43.35,25737,29,7,163300,3,0
2,47.44,37270,43,2,181700,0,0
2,22.38,36366,42,8,90850,2,0
3,57.39,21259,26,5,207000,0,0
3,71.48,45639,51,7,267950,2,0
3,56.54,34403,36,3,249550,0,0
3,16.33,9233,27,4,73600,0,0
3,52.99,47514,68,4,195500,0,0
3,47.26,33627,67,5,171350,1,0
3,65.46,35386,35,3,233450,0,0
4,62.06,52498,25,5,254150,1,0
4,40.46,27810,43,5,156400,0,0
4,39.56,21498,29,10,170200,2,0
4,41.91,50750,32,4,148350,0,0
4,73.94,48099,40,5,366850,1,0
4,63.09,27124,69,12,343850,6,0
4,32.32,18490,37,6,94300,1,0
4,45.92,36058,66,15,194350,2,0
5,75.43,34663,77,7,324300,1,0
5,33.14,41472,26,14,138000,4,0
5,59.18,29466,25,10,158700,0,0
5,75.52,33881,53,15,299000,4,0
6,58.81,44384,68,10,273700,2,0
6,71.37,43690,27,9,281750,1,0
7,112.21,65338,71,9,439300,1,0
8,93.69,46922,46,13,235750,0,0
8,238.26,59735,57,12,860200,2,0
1,24,5679,5,2,80500,0,1
3,43.35,25169,7,6,205850,1,1
1,6.24,21447,7,1,25300,0,1
5,47.15,17972,8,5,127650,0,1
5,27.78,0,8,5,96600,0,1
7,80.2,26996,8,8,217350,1,1
7,61.73,16688,8,8,285200,0,1
7,39.46,17468,8,7,173650,0,1
2,44.93,4709,9,4,184000,1,1
4,24.28,13306,9,9,74750,3,1
5,58.3,35743,9,7,212750,0,1
4,38.58,29260,11,6,83950,1,1
10,120.68,38776,12,11,417450,0,1
2,20.38,12709,13,6,31050,2,1
5,45.57,30105,13,6,178250,0,1
